utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_043621,TEF,2;04.21,TEF,chakaj bia [: da pribera] .,"['chakaj', 'da', 'pribera', '.']","['chakaj', 'da', 'pribera', '.']","['chakaj', 'da', 'pribera']",3,Чакай биа [: да прибера] .,"['чакай', 'биа', 'да', 'прибера']",Чакай биа .,да прибера .,,да прибера
UTT_043624,TEF,2;04.21,TEF,ajde pibeesh [: da priberesh] !,"['ajde', 'da', 'priberesh', '!']","['ajde', 'da', 'priberesh', '!']","['ajde', 'da', 'priberesh']",3,Айде пибееш [: да прибереш] !,"['айде', 'пибееш', 'да', 'прибереш']",Айде пибееш !,да прибереш !,,да прибереш
UTT_043629,TEF,2;04.21,TEF,tuka be .,"['tuka', 'be', '.']","['tuka', 'be', '.']","['tuka', 'be']",2,Тука бе .,"['тука', 'бе']",Тука бе .,Тука бе .,,тука бе
UTT_043631,TEF,2;04.21,TEF,ne be .,"['ne', 'be', '.']","['ne', 'be', '.']","['ne', 'be']",2,Не бе .,"['не', 'бе']",Не бе .,Не бе .,,не бе
UTT_043632,TEF,2;04.21,TEF,"tvoi [: otvori] go, moja [: molja] te !","['otvori', 'go', ',', 'molja', 'te', '!']","['otvori', 'go', ',', 'molja', 'te', '!']","['otvori', 'go', 'molja', 'te']",4,"Твои [: отвори] го, моя [: моля] те !","['твои', 'отвори', 'го', 'моя', 'моля', 'те']","Твои го , моя те !","отвори го , моля те !",,отвори го моля те
UTT_043634,TEF,2;04.21,TEF,tvoi go !,"['tvoi', 'go', '!']","['tvoi', 'go', '!']","['tvoi', 'go']",2,Твои го !,"['твои', 'го']",Твои го !,Твои го !,,твои го
UTT_043639,TEF,2;04.21,TEF,ne nam [: znam] .,"['ne', 'znam', '.']","['ne', 'znam', '.']","['ne', 'znam']",2,Не нам [: знам] .,"['не', 'нам', 'знам']",Не нам .,Не знам .,,не знам
UTT_043643,TEF,2;04.21,TEF,ne nam [: znam] be .,"['ne', 'znam', 'be', '.']","['ne', 'znam', 'be', '.']","['ne', 'znam', 'be']",3,Не нам [: знам] бе .,"['не', 'нам', 'знам', 'бе']",Не нам бе .,Не знам бе .,Не знам бе .,не знам бе
UTT_043646,TEF,2;04.21,TEF,vizh be !,"['vizh', 'be', '!']","['vizh', 'be', '!']","['vizh', 'be']",2,Виж бе !,"['виж', 'бе']",Виж бе !,Виж бе !,,виж бе
UTT_043651,TEF,2;04.21,TEF,Tana [: kato stana] nogo [: mnogo] bouna [: bolna] pija kova [: takova] .,"['kato', 'stana', 'mnogo', 'bolna', 'pija', 'takova', '.']","['kato', 'stana', 'mnogo', 'bolna', 'pija', 'takova', '.']","['kato', 'stana', 'mnogo', 'bolna', 'pija', 'takova']",6,Тана [: като стана] ного [: много] боуна [: болна] пия кова [: такова] .,"['тана', 'като', 'стана', 'ного', 'много', 'боуна', 'болна', 'пия', 'кова', 'такова']",Тана ного боуна пия кова .,като стана много болна пия такова .,,като стана много болна пия такова
UTT_043654,TEF,2;04.21,TEF,az sam bosa .,"['az', 'sam', 'bosa', '.']","['az', 'sam', 'bosa', '.']","['az', 'sam', 'bosa']",3,Аз сам боса .,"['аз', 'сам', 'боса']",Аз сам боса .,Аз сам боса .,,аз сам боса
UTT_043657,TEF,2;04.21,TEF,ej gi tam !,"['ej', 'gi', 'tam', '!']","['ej', 'gi', 'tam', '!']","['ej', 'gi', 'tam']",3,Ей ги там !,"['ей', 'ги', 'там']",Ей ги там !,Ей ги там !,,ей ги там
UTT_043658,TEF,2;04.21,TEF,ikam [: iskam] doda [: voda] pija .,"['iskam', 'voda', 'pija', '.']","['iskam', 'voda', 'pija', '.']","['iskam', 'voda', 'pija']",3,Икам [: искам] дода [: вода] пия .,"['икам', 'искам', 'дода', 'вода', 'пия']",Икам дода пия .,искам вода пия .,,искам вода пия
